Species,FishbaseV,Fishbase vuln category,PSA V
Chromis viridis,10,Low,0.67
Chrysiptera parasema,10,Low,0.67
Chrysiptera cyanea,10,Low,0.47
Dascyllus trimaculatus,10,Low,0.57
Dascyllus aruanus,26,Low to moderate,0.67
Nemateleotris magnifica,10,Low,0.65
Amphiprion ocellaris,10,Low,0.62
Dascyllus melanurus,10,Low,0.57
Pterapogon kauderni,19,Low,1.52
Pseudocheilinus hexataenia,10,Low,1.07
Sphaeramia nematoptera,10,Low,1.09
Chrysiptera hemicyanea,10,Low,0.62
Valenciennea puellaris,14,Low,0.85
Synchiropus splendidus,10,Low,0.73
Paracanthurus hepatus,21,Low,1.35
Salarias fasciatus,10,Low,1.02
Centropyge bispinosa,10,Low,1.05
Labroides dimidiatus,10,Low,0.40
Gramma loreto,10,Low,0.57
Valenciennea strigata,10,Low,0.74
Cryptocentrus cinctus,10,Low,0.94
Synchiropus ocellatus,10,Low,0.64
Chelmon rostratus,10,Low,0.74
Siganus vulpinus,21,Low,0.57
Zebrasoma veliferum,37,Moderate,1.02
Nemateleotris decora,10,Low,0.95
Pseudanthias squamipinnis,23,Low,0.40
Naso lituratus,34,Low to moderate,1.02
Amphiprion frenatus,10,Low,0.67
Heniochus acuminatus,15,Low,1.10
Centropyge loricula,10,Low,0.65
Centropyge bicolor,11,Low,0.92
Neoglyphidodon melas,10,Low,0.39
Amphiprion percula,10,Low,0.77
Dascyllus reticulatus,25,Low,0.57
Pictichromis porphyrea,10,Low,0.65
Neoglyphidodon nigroris,10,Low,0.30
Abudefduf saxatilis,13,Low,0.64
Acanthurus japonicus,11,Low,1.00
Pholidichthys leucotaenia,24,Low,0.77
Pomacentrus coelestis,10,Low,0.47
Pterois volitans,34,Low to moderate,0.95
Halichoeres chrysus,10,Low,0.65
Premnas biaculeatus,10,Low,0.62
Gobiodon histrio,10,Low,0.98
Gobiodon okinawae,10,Low,0.98
Dendrochirus zebra,21,Low,0.95
Odonus niger,40,Moderate,0.95
Neoglyphidodon oxyodon,10,Low,0.31
Amphiprion sebae,10,Low,0.57
Pictichromis paccagnellae,10,Low,0.65
Synchiropus picturatus,10,Low,0.95
Chrysiptera talboti,10,Low,0.40
Pictichromis diadema,10,Low,1.00
Centropyge argi,10,Low,0.57
Pseudanthias dispar,10,Low,0.47
Pseudanthias pleurotaenia,10,Low,0.40
Signigobius biocellatus,10,Low,0.47
Cirrhilabrus cyanopleura,10,Low,0.56
Paracheilinus filamentosus,10,Low,0.65
Plectorhinchus chaetodonoides,49,Moderate to high,1.17
Opistognathus aurifrons,10,Low,0.40
Acanthurus leucosternon,42,Moderate,0.95
Coris gaimard,30,Low to moderate,1.06
Chrysiptera rex,10,Low,0.47
Pomacentrus alleni,10,Low,0.67
Pomacanthus imperator,68,High to very high,1.02
Echidna nebulosa,60,High,1.56
Gobiodon atrangulatus,10,Low,0.98
Arothron nigropunctatus,23,Low,1.27
Synchiropus marmoratus,10,Low,1.29
Ptereleotris zebra,10,Low,0.40
Zebrasoma scopas,66,High to very high,1.02
Novaculichthys taeniourus,20,Low,1.06
Cirrhilabrus solorensis,10,Low,0.83
Oxycirrhites typus,10,Low,0.73
Paracheilinus carpenteri,10,Low,0.65
Lactoria cornuta,36,Moderate,1.26
Canthigaster valentini,10,Low,1.07
Pomacanthus semicirculatus,39,Moderate,1.28
Chromis cyanea,10,Low,0.46
Ptereleotris evides,10,Low,0.47
Ecsenius bicolor,10,Low,0.83
Koumansetta rainfordi,10,Low,1.15
Cirrhilabrus lubbocki,10,Low,0.85
Amblyglyphidodon curacao,10,Low,0.39
Acanthurus lineatus,23,Low,1.07
Chaetodon lunula,10,Low,1.20
Exallias brevis,10,Low,1.44
Pseudanthias tuka,10,Low,0.74
Acanthurus pyroferus,29,Low to moderate,0.53
Pomacentrus caeruleus,10,Low,0.47
Gobiodon citrinus,10,Low,0.98
Amphiprion polymnus,10,Low,0.51
Ecsenius stigmatura,10,Low,1.20
Halichoeres melanurus,10,Low,0.74
Zoramia leptacantha,10,Low,1.36
Diodon hystrix,56,High,1.37
Forcipiger flavissimus,12,Low,0.81
Amblyglyphidodon ternatensis,10,Low,0.39
Cromileptes altivelis,34,Low to moderate,1.07
Centropyge heraldi,10,Low,0.81
Pomacentrus chrysurus,10,Low,0.63
Centropyge vrolikii,10,Low,0.87
Rhinecanthus aculeatus,30,Low to moderate,0.95
Halichoeres chloropterus,13,Low,0.74
Amphiprion clarkii,29,Low to moderate,0.51
Amblygobius phalaena,10,Low,0.65
Acanthochromis polyacanthus,13,Low,0.46
Macropharyngodon meleagris,10,Low,0.74
Chaetodon auriga,23,Low,1.20
Cryptocentrus cyanotaenia,10,Low,1.11
Ctenochaetus tominiensis,10,Low,0.43
Serranus tortugarum,10,Low,0.85
Centropyge eibli,10,Low,0.87
Ecsenius midas,10,Low,0.87
Valenciennea sexguttata,10,Low,0.47
Pomacentrus moluccensis,10,Low,0.62
Dendrochirus brachypterus,10,Low,1.06
Chaetodon kleinii,10,Low,1.35
Valenciennea wardii,10,Low,0.40
Stonogobiops xanthorhinica,10,Low,0.65
Xanthichthys auromarginatus,20,Low,0.65
Chromis retrofasciata,10,Low,0.57
Pomacentrus amboinensis,10,Low,0.31
Salarias ramosus,10,Low,0.95
Platax orbicularis,44,Moderate,0.95
Cryptocentrus leptocephalus,10,Low,0.64
Acreichthys tomentosus,16,Low,0.95
Ecsenius pulcher,10,Low,1.20
Doryrhamphus dactyliophorus,10,Low,0.83
Centropyge ferrugatus,10,Low,1.05
Chaetodon xanthurus,10,Low,1.35
Ostracion cubicus,35,Low to moderate,1.27
Centropyge tibicen,10,Low,0.81
Cirrhilabrus rubriventralis,10,Low,0.56
Pterois antennata,10,Low,0.85
Pomacentrus simsiang,10,Low,0.47
Rhinecanthus verrucosus,13,Low,0.74
Apogon cyanosoma,10,Low,0.95
Chromis analis,10,Low,0.46
Amphiprion bicinctus,10,Low,0.69
Ptereleotris heteroptera,10,Low,0.40
Amphiprion perideraion,26,Low to moderate,0.51
Meiacanthus atrodorsalis,10,Low,0.85
Thalassoma lunare,35,Low to moderate,1.26
Thalassoma amblycephalum,10,Low,0.95
Halichoeres trispilus,10,Low,1.07
Diodon holocanthus,27,Low to moderate,1.37
Stegastes aureus,10,Low,0.74
Chaetodontoplus mesoleucus,10,Low,0.63
Chrysiptera springeri,10,Low,0.81
Koumansetta hectori,10,Low,1.07
Acanthurus triostegus,16,Low,0.46
Elacatinus oceanops,10,Low,1.00
Pygoplites diacanthus,21,Low,0.63
Gomphosus varius,27,Low to moderate,1.45
Stegastes fasciolatus,10,Low,0.40
Apogon parvulus,10,Low,1.44
Zanclus cornutus,13,Low,0.64
Chaetodon punctatofasciatus,10,Low,1.35
Naso vlamingii,38,Moderate,1.02
Bodianus bimaculatus,10,Low,0.65
Halichoeres hortulanus,21,Low,0.85
Chromis opercularis,10,Low,0.29
Ecsenius bimaculatus,10,Low,1.05
Gobiodon rivulatus,10,Low,0.98
Sphaeramia orbicularis,10,Low,1.35
Doryrhamphus excisus,10,Low,0.64
Cirrhilabrus rubripinnis,10,Low,0.73
Genicanthus lamarck,15,Low,0.53
Amphiprion allardi,10,Low,0.69
Bodianus mesothorax,15,Low,0.85
Ophioblennius atlanticus,10,Low,0.74
Balistoides conspicillum,40,Moderate,0.95
Gramma melacara,10,Low,0.57
Choerodon fasciatus,20,Low,0.40
Chromis margaritifer,29,Low to moderate,0.50
Cirrhilabrus exquisitus,10,Low,0.73
Centropyge nox,10,Low,1.05
Centropyge multicolor,10,Low,0.57
Pomacanthus navarchus,18,Low,0.87
Paracirrhites arcatus,10,Low,0.93
Hypoplectrus indigo,10,Low,0.85
Stegastes leucostictus,10,Low,0.57
Neopomacentrus nemurus,10,Low,0.87
Thalassoma bifasciatum,20,Low,0.85
Chrysiptera unimaculata,10,Low,0.19
Chrysiptera brownriggii,10,Low,0.53
